#################################
#	File:   tl_localisation.csv
#	Author: Chris Saiko
#	Desc:   Toph's Laws Localisation File
#           Windows 1252 encoding
#################################

#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#CODE;ENGLISH;;;;;;;;;;;;;x

#LAWS
#Imperial Usurpation
tl_impusurp_law;Imperial Usurpation;;;;;;;;;;;;;x
tl_impusurp_law_desc;This law determines the ability of the Emperor to be able to usurp non-viceroyal duchies at will.;;;;;;;;;;;;;x

tl_impusurp_law_0;Imperial Feudal Usurp Disallowed;;;;;;;;;;;;;x
tl_impusurp_law_0_desc;Imperial usurpation of any non-viceroyal duchies by the emperor is not allowed. The emperor may always return to this.;;;;;;;;;;;;;x
tl_impusurp_law_0_option;None;Aucune;Keine;;Ninguno;;;;;;;;;x

tl_impusurp_law_1;Imperial Feudal Usurp Allowed;;;;;;;;;;;;;x
tl_impusurp_law_1_desc;The emperor may usurp non-viceroyal duchies from a feudal direct vassal for any reason.;;;;;;;;;;;;;x
tl_impusurp_law_1_option;Feudal;;;;;;;;;;;;;x

tl_impusurp_law_2;Imperial Republic Usurp Allowed;;;;;;;;;;;;;x
tl_impusurp_law_2_desc;The emperor may usurp republic duchies from a republic direct vassal for any reason.;;;;;;;;;;;;;x
tl_impusurp_law_2_option;Republic;;;;;;;;;;;;;x

tl_impusurp_law_3;Imperial Theocracy Usurp Allowed;;;;;;;;;;;;;x
tl_impusurp_law_3_desc;The emperor may usurp theocratic duchies from a theocratic direct vassal for any reason.;;;;;;;;;;;;;x
tl_impusurp_law_3_option;Theocracy;;;;;;;;;;;;;x

#Born in the Purple Law
tl_purple_law;Bestow Born In The Purple Law;;;;;;;;;;;;;x
tl_purple_law_desc;Born In The Purple is a trait reserved for only direct children of the Emperor who are born in the Imperial Palace. The Emperor may, under certain conditions, grant this trait to grandchildren of the Emperor.;;;;;;;;;;;;;x

tl_purple_law_0;Bestow Born In The Purple Disabled;;;;;;;;;;;;;x
tl_purple_law_0_desc;Born In The Purple may not be bestowed outside of traditional means.;;;;;;;;;;;;;x
tl_purple_law_0_option;Disabled;;;;;;;;;;;;;x

tl_purple_law_1;Bestow Born In The Purple Enabled;;;;;;;;;;;;;x
tl_purple_law_1_desc;Born In The Purple is a trait reserved for only direct children of the Emperor who are born in the Imperial Palace. The Emperor may, under certain conditions, grant this trait to grandchildren of the Emperor.;;;;;;;;;;;;;x
tl_purple_law_1_option;Enabled;;;;;;;;;;;;;x

#Titular Title Law
tl_ttitle_law;Titular Title Law;;;;;;;;;;;;;x
tl_ttitle_law_desc;The ruler may choose to permanently destroy titular titles.;;;;;;;;;;;;;x

tl_deact_law_0;Deactivate Titular Title Disabled;;;;;;;;;;;;;x
tl_deact_law_0_desc;The ruler may not deactivate owned titular titles.;;;;;;;;;;;;;x
tl_deact_law_0_option;Disabled;;;;;;;;;;;;;x

tl_deact_law_1;Deactivate Titular Title Enabled;;;;;;;;;;;;;x
tl_deact_law_1_desc;The ruler may deactivate owned titular titles.;;;;;;;;;;;;;x
tl_deact_law_1_option;Enabled;;;;;;;;;;;;;x

#De Jure Edict Law
tl_djtitle_law;De Jure Title Law;;;;;;;;;;;;;x
tl_djtitle_law_desc;The ruler may choose to issue an edict, declaring titles as de jure vassals.;;;;;;;;;;;;;x

tl_djedict_law_0;De Jure Edict Disabled;;;;;;;;;;;;;x
tl_djedict_law_0_desc;The ruler may not issue De Jure edicts for vassal titles.;;;;;;;;;;;;;x
tl_djedict_law_0_option;Disabled;;;;;;;;;;;;;x

tl_djedict_law_1;De Jure Edict Enabled;;;;;;;;;;;;;x
tl_djedict_law_1_desc;The ruler may issue De Jure edicts for vassal duchy titles to become de jure vassals of the realm capital de jure kingdom.;;;;;;;;;;;;;x
tl_djedict_law_1_option;Enabled;;;;;;;;;;;;;x

tl_djedict_law_2;Imperial De Jure Edict Enabled;;;;;;;;;;;;;x
tl_djedict_law_2_desc;The ruler may issue De Jure edicts for vassal duchy and kingdom titles.;;;;;;;;;;;;;x
tl_djedict_law_2_option;Imperial;;;;;;;;;;;;;x

#De Jure Edict Law (Merchant Republic)
tl_mrtitle_law;De Jure Title Law;;;;;;;;;;;;;x
tl_mrtitle_law_desc;The ruler may choose to issue an edict, declaring titles as de jure vassals.;;;;;;;;;;;;;x

tl_repedict_law_0;De Jure Edict Disabled;;;;;;;;;;;;;x
tl_repedict_law_0_desc;The ruler may not issue De Jure edicts for vassal titles.;;;;;;;;;;;;;x
tl_repedict_law_0_option;Disabled;;;;;;;;;;;;;x

tl_repedict_law_1;De Jure Edict Enabled;;;;;;;;;;;;;x
tl_repedict_law_1_desc;The ruler may issue De Jure edicts for vassal republic duchy titles to become de jure vassals of the realm capital de jure kingdom.;;;;;;;;;;;;;x
tl_repedict_law_1_option;Enabled;;;;;;;;;;;;;x

#Trade Authority Law - Non-Byzantine
tl_trade_auth_law;Trade Authority Law;;;;;;;;;;;;;x
tl_trade_auth_law_desc;Law controlling imperial authority over trade posts within the realm.;;;;;;;;;;;;;x

tl_trade_auth_law_0;Free Trade Authority;;;;;;;;;;;;;x
tl_trade_auth_law_0_desc;The Empire may not seize trade posts for direct use.;;;;;;;;;;;;;x
tl_trade_auth_law_0_option;Free;;;;;;;;;;;;;x

tl_trade_auth_law_1;Imperial Trade Authority;;;;;;;;;;;;;x
tl_trade_auth_law_1_desc;The Empire may seize trade posts for direct use.;;;;;;;;;;;;;x
tl_trade_auth_law_1_option;Imperial;;;;;;;;;;;;;x

#Trade Authority Law - Byzantine/Roman
tl_byz_trade_auth_law;Republic Authority Law;;;;;;;;;;;;;x
tl_byz_trade_auth_law_desc;Law controlling imperial authority over Republics and trade posts within the realm.;;;;;;;;;;;;;x

tl_byz_trade_auth_law_0;Free Trade Authority;;;;;;;;;;;;;x
tl_byz_trade_auth_law_0_desc;The Empire may neither usurp republics, nor seize trade posts for direct use.;;;;;;;;;;;;;x
tl_byz_trade_auth_law_0_option;Free;;;;;;;;;;;;;x

tl_byz_trade_auth_law_1;Imperial Trade Authority;;;;;;;;;;;;;x
tl_byz_trade_auth_law_1_desc;The Empire may now seize trade posts for direct use.;;;;;;;;;;;;;x
tl_byz_trade_auth_law_1_option;Trade;;;;;;;;;;;;;x

tl_byz_trade_auth_law_2;Imperial Republic Authority;;;;;;;;;;;;;x
tl_byz_trade_auth_law_2_desc;The Empire may now usurp Republics from vassals, as well as seize trade posts.;;;;;;;;;;;;;x
tl_byz_trade_auth_law_2_option;Republic;;;;;;;;;;;;;x

#IMPERIAL SENATE LAW
tl_senate_law;Imperial Senate;;;;;;;;;;;;;x
tl_senate_law_desc;The Imperial Senate of the Roman Empire handled many of the laws regarding the operation of the Empire, advising the Emperor and offering counsel.;;;;;;;;;;;;;x

tl_senate_law_0;Imperial Senate Dissolved;;;;;;;;;;;;;x
tl_senate_law_0_desc;The Imperial Senate is not active. The Consul title is inactive.;;;;;;;;;;;;;x
tl_senate_law_0_option;None;;;;;;;;;;;;;x

tl_senate_law_1;Imperial Senate Established;;;;;;;;;;;;;x
tl_senate_law_1_desc;The Imperial Senate is established. The Consul title is now active. Imperial Senate provinces may now be established.;;;;;;;;;;;;;x
tl_senate_law_1_option;Enable;;;;;;;;;;;;;x

#IMPERIAL SENATE PROVINCES
tl_senate_prov_law;Imperial Senate Provinces;;;;;;;;;;;;;x
tl_senate_prov_law_desc;Senators may be appointed from select Imperial provinces. Provinces must be established in turn to appoint Senators from them.;;;;;;;;;;;;;x

tl_senate_prov_law_0;All Imperial Senate Provinces Inactive;;;;;;;;;;;;;x
tl_senate_prov_law_0_desc;All Imperial Senate provinces are inactive.;;;;;;;;;;;;;x
